Item,Serving Size,Calories,Calories From Fat,Total Fat (g),Total Fat % Daily Value,Saturated Fat (g),Saturated Fat % Daily Value,Trans Fat (g),Cholesterol (mg),Cholesterol % Daily Value,Sodium (mg),Sodium % Daily Value,Carbohydrates (g),Carbohydrates % Daily Value,Dietary Fiber (g),Dietary Fiber % Daily Value,Sugars (g),Protein (g),Vitamin A % Daily Value,Vitamin C % Daily Value,Calcium % Daily Value,Iron % Daily Value
Angus Bacon &Cheese,10.2 oz(290 g),790,350,39,60,18,88,2,150,49,1990,83,63,21,4,15,13,45,10,4,30,35
Angus Deluxe,11.2 oz(316 g),760,350,39,60,17,83,2,135,46,1640,68,61,20,4,16,10,40,15,8,30,35
Angus Mushroom& Swiss,10 oz(283 g),770,360,40,61,17,85,2,135,46,1170,49,59,20,4,16,8,44,8,0,40,35
Big Mac,7.6 oz(215 g),550,260,29,45,10,51,1,75,25,970,40,46,15,3,13,9,25,4,2,25,25
QuarterPounder® withCheese,7.1 oz(202 g),520,240,26,41,12,61,1.5,95,31,1100,46,41,14,3,11,10,30,10,2,30,25
Double QuarterPounder® withCheese,10 oz(283 g),750,380,43,66,19,96,2.5,160,53,1280,53,42,14,3,11,10,48,10,2,30,35
Hamburger,3.5 oz(100 g),250,80,9,13,3.5,16,0.5,25,9,480,20,31,10,2,6,6,12,2,2,10,15
Cheeseburger,4 oz(114 g),300,110,12,19,6,28,0.5,40,14,680,29,33,11,2,7,7,15,6,2,20,15
Grilled OnionCheddar,4.1 oz(115 g),310,120,13,21,6,30,0.5,40,14,660,27,33,11,2,8,7,15,2,0,20,15
DoubleCheeseburger,5.8 oz(165 g),440,210,23,35,11,54,1.5,80,27,1050,44,34,11,2,8,7,25,8,2,30,20
McDouble,5.3 oz(151 g),390,170,19,29,8,42,1,65,22,850,35,33,11,2,7,7,23,6,2,20,20
Daily Double,6.8 oz(194 g),440,220,24,37,9,47,1.5,70,24,770,32,33,11,2,9,7,23,6,6,20,20
Premium CrispyChicken ClassicSandwich,7.5 oz(213 g),510,200,22,33,3.5,18,0,45,16,990,41,55,18,3,13,10,24,4,6,15,20
Premium GrilledChicken ClassicSandwich,7 oz(200 g),350,80,9,13,2,9,0,65,22,820,34,42,14,3,13,8,28,4,8,15,20
Premium CrispyChicken ClubSandwich,8.4 oz(237 g),620,260,29,45,7,37,0,70,24,1200,50,57,19,3,14,11,31,8,6,30,20
Premium GrilledChicken ClubSandwich,7.9 oz(223 g),460,150,16,25,6,28,0,90,30,1030,43,43,14,3,13,9,35,8,8,30,20
Premium CrispyChicken RanchBLT Sandwich,7.6 oz(215 g),540,210,23,35,4.5,23,0,55,19,1170,49,56,19,3,13,11,27,4,6,15,20
Premium GrilledChicken RanchBLT Sandwich,7.1 oz(202 g),380,90,10,15,3,14,0,75,25,1000,42,42,14,3,13,9,31,4,8,15,20
McChicken,5.1 oz(143 g),360,140,16,25,3,15,0,35,11,800,33,40,13,2,7,5,14,0,2,10,15
Hot 'n SpicyMcChicken,5.1 oz(146 g),380,160,17,27,3,16,0,35,12,1030,43,41,14,2,9,22,15,0,0,15,15
Southern StyleCrispy ChickenSandwich,5.6 oz(159 g),420,170,19,28,3,15,0,45,14,900,38,43,14,2,7,7,21,2,2,15,15
Filet-O-Fish,5 oz(142 g),390,170,19,29,4,19,0,40,14,590,24,39,13,2,7,5,15,2,0,15,10
Angus Bacon &Cheese SnackWrap,5 oz(144 g),390,190,21,33,10,48,1,75,25,1040,43,28,9,1,6,4,21,6,2,10,20
Angus DeluxeSnack Wrap,5.9 oz(169 g),410,220,25,38,10,49,1.5,75,25,960,40,27,9,2,7,3,20,8,4,15,20
Angus Mushroom& Swiss SnackWrap,5.7 oz(161 g),430,230,25,39,10,50,1.5,75,25,730,30,27,9,2,8,2,22,4,0,15,20
Chipotle BBQSnack Wrap®(Crispy),4.1 oz(117 g),330,140,15,23,4.5,22,0,30,10,720,30,34,11,1,5,4,14,4,2,10,10
Chipotle BBQSnack Wrap®(Grilled),4.1 oz(117 g),250,70,8,12,3.5,18,0,40,14,670,28,27,9,1,5,5,16,4,2,10,10
Honey MustardSnack Wrap®(Crispy),4.1 oz(116 g),330,140,15,24,4.5,22,0,30,10,700,29,33,11,1,5,2,14,2,2,10,10
Honey MustardSnack Wrap®(Grilled),4.1 oz(116 g),250,70,8,13,3.5,18,0,45,14,650,27,27,9,1,5,2,16,2,2,10,10
Ranch SnackWrap® (Crispy),4.2 oz(118 g),350,170,19,29,5,26,0,35,12,750,31,32,11,1,5,2,14,2,2,10,10
Ranch SnackWrap® (Grilled),4.2 oz(118 g),270,110,12,18,4,21,0,45,16,700,29,25,8,1,5,2,16,2,2,10,10
Mac SnackWrap,4.4 oz(125 g),330,170,19,29,7,34,1,45,15,670,28,26,9,1,5,3,14,2,0,8,15
McRib,7.3 oz(208 g),500,240,26,40,10,48,0,70,23,980,41,44,15,3,10,11,22,2,2,15,20
Chicken & Fish,,,,,,,,,,,,,,,,,,,,,,
ChickenMcNuggets® (4piece),2.3 oz(65 g),190,110,12,18,2,10,0,25,9,360,15,12,4,1,2,0,9,0,2,0,2
Chicken Selects®Premium BreastStrips  (3 pc),4.4 oz(124 g),380,210,23,35,3.5,16,0,55,18,750,31,21,7,1,3,0,23,0,4,2,4
Fish McBitesRegular Size,5.2 oz(147 g),370,180,20,30,2.5,13,0,35,12,630,26,31,10,2,8,1,17,0,0,4,6
Premium CrispyChicken ClassicSandwich,7.5 oz(213 g),510,200,22,33,3.5,18,0,45,16,990,41,55,18,3,13,10,24,4,6,15,20
Premium GrilledChicken ClassicSandwich,7 oz(200 g),350,80,9,13,2,9,0,65,22,820,34,42,14,3,13,8,28,4,8,15,20
Premium CrispyChicken ClubSandwich,8.4 oz(237 g),620,260,29,45,7,37,0,70,24,1200,50,57,19,3,14,11,31,8,6,30,20
Premium GrilledChicken ClubSandwich,7.9 oz(223 g),460,150,16,25,6,28,0,90,30,1030,43,43,14,3,13,9,35,8,8,30,20
Premium CrispyChicken RanchBLT Sandwich,7.6 oz(215 g),540,210,23,35,4.5,23,0,55,19,1170,49,56,19,3,13,11,27,4,6,15,20
Premium GrilledChicken RanchBLT Sandwich,7.1 oz(202 g),380,90,10,15,3,14,0,75,25,1000,42,42,14,3,13,9,31,4,8,15,20
McChicken,5.1 oz(143 g),360,140,16,25,3,15,0,35,11,800,33,40,13,2,7,5,14,0,2,10,15
Hot 'n SpicyMcChicken,5.1 oz(146 g),380,160,17,27,3,16,0,35,12,1030,43,41,14,2,9,22,15,0,0,15,15
Southern StyleCrispy ChickenSandwich,5.6 oz(159 g),420,170,19,28,3,15,0,45,14,900,38,43,14,2,7,7,21,2,2,15,15
Filet-O-Fish,5 oz(142 g),390,170,19,29,4,19,0,40,14,590,24,39,13,2,7,5,15,2,0,15,10
Chipotle BBQSnack Wrap®(Crispy),4.1 oz(117 g),330,140,15,23,4.5,22,0,30,10,720,30,34,11,1,5,4,14,4,2,10,10
Chipotle BBQSnack Wrap®(Grilled),4.1 oz(117 g),250,70,8,12,3.5,18,0,40,14,670,28,27,9,1,5,5,16,4,2,10,10
Honey MustardSnack Wrap®(Crispy),4.1 oz(116 g),330,140,15,24,4.5,22,0,30,10,700,29,33,11,1,5,2,14,2,2,10,10
Honey MustardSnack Wrap®(Grilled),4.1 oz(116 g),250,70,8,13,3.5,18,0,45,14,650,27,27,9,1,5,2,16,2,2,10,10
Ranch SnackWrap® (Crispy),4.2 oz(118 g),350,170,19,29,5,26,0,35,12,750,31,32,11,1,5,2,14,2,2,10,10
Ranch SnackWrap® (Grilled),4.2 oz(118 g),270,110,12,18,4,21,0,45,16,700,29,25,8,1,5,2,16,2,2,10,10
Premium BaconRanch Salad withCrispy Chicken,11.3 oz(319 g),390,190,22,33,6,29,0,70,23,870,36,24,8,4,15,7,26,160,35,15,10
Premium BaconRanch Salad withGrilled Chicken,10.8 oz(306 g),230,80,9,13,4,20,0,85,29,700,29,10,3,4,15,5,30,160,35,15,10
Premium CaesarSalad with CrispyChicken,10.9 oz(309 g),350,170,18,28,4.5,23,0,55,18,740,31,24,8,4,15,7,23,160,35,20,10
Premium CaesarSalad with GrilledChicken,10.4 oz(296 g),190,50,5,8,3,14,0,70,24,580,24,10,3,4,15,5,27,160,35,20,10
PremiumSouthwest Saladwith CrispyChicken,12.3 oz(350 g),450,190,21,33,4.5,21,0,50,17,820,34,42,14,7,27,13,23,160,30,15,15
PremiumSouthwest Saladwith GrilledChicken,11.8 oz(335 g),290,70,8,13,2.5,12,0,70,23,650,27,28,9,7,27,11,27,160,35,15,15
ChickenMcNuggets® (10piece),5.7 oz(162 g),470,270,30,45,5,25,0,65,22,900,37,30,10,2,6,0,22,0,4,2,6
ChickenMcNuggets® (20piece)**,11.4 oz(323 g),940,530,59,91,10,50,0,135,44,1800,75,59,20,3,12,0,44,0,8,4,10
ChickenMcNuggets® (6piece),3.4 oz(97 g),280,160,18,27,3,15,0,40,13,540,22,18,6,1,4,0,13,0,2,2,4
Chicken Selects®Premium BreastStrips (5 pc),7.3 oz(206 g),640,340,38,59,6,28,0,90,31,1240,52,36,12,1,4,0,38,0,6,4,6
Spicy ChickenMcBites™Shareable Size,10 oz(284 g),910,500,55,85,10,50,0,120,40,1990,83,61,20,1,4,1,46,15,4,10,10
Fish McBitesHappy MealSize,2.4 oz(68 g),170,80,9,14,1,6,0,15,6,300,12,15,5,1,4,0,8,0,0,2,2
Fish McBitesShareable Size,10.3 oz(293 g),740,350,39,60,5,27,0,70,24,1260,53,63,21,4,16,1,33,0,0,6,10
Fish McBitesSnack Size,3.4 oz(98 g),250,120,13,20,2,9,0,25,8,420,18,21,7,1,5,0,11,0,0,2,4
Spicy ChickenMcBites™ SnackSize,3 oz(85 g),270,150,17,25,3,15,0,35,12,600,25,18,6,0,0,0,14,4,0,2,2
Breakfast,,,,,,,,,,,,,,,,,,,,,,
Fruit 'n YogurtParfait,5.2 oz(149 g),150,20,2,3,1,5,0,5,2,70,3,30,10,1,3,23,4,2,15,10,4
Snack Size Fruit& Walnuts,1 pkg(163 g),210,70,8,13,1.5,7,0,5,2,60,2,31,10,2,9,25,4,0,170,8,2
Egg McMuffin,4.9 oz(138 g),300,110,12,19,5,25,0,260,87,780,33,30,10,2,8,3,18,10,0,30,15
SausageMcMuffin,4 oz(114 g),370,200,22,34,8,42,0,45,15,820,34,29,10,2,8,2,14,6,2,25,15
SausageMcMuffin® withEgg,5.8 oz(164 g),450,240,27,42,10,51,0,285,95,890,37,30,10,2,8,2,21,10,2,30,20
"Bacon, Egg &Cheese Biscuit(Regular SizeBiscuit)",4.9 oz(140 g),420,210,23,35,12,59,0,240,79,1130,47,38,13,2,7,3,15,10,0,15,15
Sausage Biscuit(Regular SizeBiscuit),4.1 oz(117 g),430,240,27,42,12,62,0,30,10,1080,45,34,11,2,6,2,11,0,0,6,15
Sausage Biscuitwith Egg(Regular SizeBiscuit),5.7 oz(163 g),510,290,33,50,14,71,0,250,83,1170,49,36,12,2,6,2,18,6,0,10,20
"Bacon, Egg &CheeseMcGriddles",5.8 oz(164 g),410,160,18,28,8,38,0,240,80,1080,45,48,16,2,9,15,15,10,0,20,15
SausageMcGriddles,5 oz(141 g),420,200,22,34,8,40,0,35,11,1030,43,44,15,2,8,15,11,0,0,8,10
"Sausage, Egg &CheeseMcGriddles",7.1 oz(201 g),550,280,31,48,12,61,0,265,89,1320,55,48,16,2,9,15,20,10,0,20,15
Big Breakfast®(Regular SizeBiscuit),9.5 oz(269 g),740,430,48,73,17,87,0,555,185,1560,65,51,17,3,12,3,28,15,2,15,25
Big Breakfastwith Hotcakes(Regular SizeBiscuit),14.8 oz(420 g),1090,510,56,87,19,96,0,575,192,2150,90,111,37,6,23,17,36,15,2,25,40
Cinnamon Melts,4 oz(114 g),460,170,19,30,9,43,0,15,5,370,15,66,22,3,11,32,6,4,0,6,15
Hotcakes,5.3 oz(151 g),350,80,9,13,2,9,0,20,7,590,24,60,20,3,10,14,8,0,0,15,15
Hotcakes andSausage,6.8 oz(192 g),520,210,24,37,7,36,0,50,17,930,39,61,20,3,10,14,15,0,0,15,15
"Bacon, Egg &Cheese Bagel",6.5 oz(185 g),570,250,27,42,9,47,0.5,260,87,1230,51,56,19,3,11,7,24,20,2,20,20
Southern StyleChicken Biscuit(Regular SizeBiscuit),5 oz(143 g),410,180,20,31,8,41,0,30,10,1180,49,41,14,2,6,3,17,0,2,6,15
Sausage Burrito,3.9 oz(111 g),300,150,16,25,7,33,0,115,38,790,33,26,9,1,5,2,12,10,2,15,15
Hash Brown,2 oz(56 g),150,80,9,14,1.5,6,0,0,0,310,13,15,5,2,6,0,1,0,2,0,2
"Bacon, Egg &Cheese Biscuit(Large SizeBiscuit)",5.4 oz(154 g),480,250,27,42,12,62,0,240,79,1240,52,43,14,3,12,4,15,15,0,20,20
Big Breakfastwith Hotcakes(Large SizeBiscuit),15.3 oz(434 g),1150,540,60,93,20,100,0,575,192,2260,94,116,39,7,28,17,36,15,2,30,40
Big Breakfast®(Large SizeBiscuit),10 oz(283 g),800,470,52,80,18,90,0,555,185,1680,70,56,19,4,17,3,28,15,2,15,30
Sausage Biscuit(Large SizeBiscuit),4.6 oz(131 g),480,280,31,48,13,65,0,30,10,1190,50,39,13,3,11,3,11,4,0,8,15
Sausage Biscuitwith Egg (LargeSize Biscuit),6.2 oz(177 g),570,330,37,57,15,74,0,250,83,1280,53,42,14,3,11,3,18,10,0,10,20
Southern StyleChicken Biscuit(Large SizeBiscuit),5.5 oz(157 g),470,220,24,37,9,45,0,30,10,1290,54,46,15,3,11,4,17,4,2,8,15
Fruit & MapleOatmeal,9.6 oz(251 g),290,35,4,6,1.5,8,0,5,2,160,7,58,19,5,19,32,5,2,130,10,10
Fruit & MapleOatmeal withoutBrown Sugar,9.6 oz(251 g),260,40,4,6,1.5,8,0,5,2,115,5,49,16,5,22,18,5,2130610,,,
Salads,,,,,,,,,,,,,,,,,,,,,,
Premium BaconRanch Salad(without chicken),7.9 oz(223 g),140,70,7,11,3.5,18,0,25,9,300,12,10,3,3,13,4,9,160,30,15,8
Premium BaconRanch Salad withCrispy Chicken,11.3 oz(319 g),390,190,22,33,6,29,0,70,23,870,36,24,8,4,15,7,26,160,35,15,10
Premium BaconRanch Salad withGrilled Chicken,10.8 oz(306 g),230,80,9,13,4,20,0,85,29,700,29,10,3,4,15,5,30,160,35,15,10
Premium CaesarSalad (withoutchicken),7.5 oz(213 g),90,35,4,6,2.5,12,0,10,4,180,7,9,3,3,13,4,7,160,30,20,8
Premium CaesarSalad with CrispyChicken,10.9 oz(309 g),350,170,18,28,4.5,23,0,55,18,740,31,24,8,4,15,7,23,160,35,20,10
Premium CaesarSalad with GrilledChicken,10.4 oz(296 g),190,50,5,8,3,14,0,70,24,580,24,10,3,4,15,5,27,160,35,20,10
PremiumSouthwest Salad(without chicken),8.1 oz(230 g),140,40,4.5,7,2,9,0,10,3,150,6,20,7,6,24,6,6,160,25,15,10
PremiumSouthwest Saladwith CrispyChicken,12.3 oz(350 g),450,190,21,33,4.5,21,0,50,17,820,34,42,14,7,27,13,23,160,30,15,15
PremiumSouthwest Saladwith GrilledChicken,11.8 oz(335 g),290,70,8,13,2.5,12,0,70,23,650,27,28,9,7,27,11,27,160,35,15,15
Side Salad,3.1 oz(87 g),20,0,0,0,0,0,0,0,0,10,0,4,1,1,6,2,1,45,25,2,4
Snack Size Fruit& Walnuts,1 pkg(163 g),210,70,8,13,1.5,7,0,5,2,60,2,31,10,2,9,25,4,0,170,8,2
Snacks & Sides,,,,,,,,,,,,,,,,,,,,,,
Small FrenchFries,2.5 oz(71 g),230,100,11,18,1.5,8,0,0,0,160,7,29,10,3,12,0,3,0,8,2,4
Apple Slices,1.2 oz(34 g),15,0,0,0,0,0,0,0,0,0,0,4,1,0,0,3,0,0,160,2,0
Side Salad,3.1 oz(87 g),20,0,0,0,0,0,0,0,0,10,0,4,1,1,6,2,1,45,25,2,4
Fruit 'n YogurtParfait,5.2 oz(149 g),150,20,2,3,1,5,0,5,2,70,3,30,10,1,3,23,4,2,15,10,4
Snack Size Fruit& Walnuts,1 pkg(163 g),210,70,8,13,1.5,7,0,5,2,60,2,31,10,2,9,25,4,0,170,8,2
